Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
11,22,17,17/11/22,12.2,0.44,19.87,8.11,5.4,6.1
11,22,18,18/11/22,15.9,0.31,22.63,7.04,7,6.3
11,22,19,19/11/22,15,0.12,21.01,6.13,5.8,5.7
11,22,20,20/11/22,18.4,0.3,24.35,6.25,4.1,3.7
11,22,21,21/11/22,13.2,0.35,19.08,6.23,3.8,4.6
11,22,22,22/11/22,15.7,0.17,26.7,11.17,6.4,5.7
11,22,23,23/11/22,12.8,0.38,19.33,6.91,4.3,4.2
11,22,24,24/11/22,11.9,0.19,20.29,8.58,4.5,4.1
11,22,25,25/11/22,12.8,0.14,21.72,9.06,6,5.8
11,22,26,26/11/22,11.9,0.06,23.2,11.36,6.6,6.2
11,22,27,27/11/22,13.3,0.22,22.22,9.14,5.7,5.4
11,22,28,28/11/22,14.2,0.15,22.68,8.63,5.4,5.3
11,22,29,29/11/22,14,0.37,21.5,7.87,4.4,4.3
11,22,30,30/11/22,13,0.4,24.57,11.97,4.7,4.7
12,22,1,01/12/22,0,0,0.13,0.13,0,0.3
12,22,2,02/12/22,13.4,0.24,24.22,11.06,4.9,4.4
12,22,3,03/12/22,14.1,0.22,18.72,4.84,4.2,4.4
12,22,4,04/12/22,14.1,0.07,20.51,6.48,6.3,6.1
12,22,5,05/12/22,13.5,0.07,24.31,10.88,9,8.6
12,22,6,06/12/22,19,0.3,26.64,7.94,5.7,5.7
12,22,7,07/12/22,12.5,0.23,21.08,8.81,4.7,4.4
12,22,8,08/12/22,9.7,0.11,20.27,10.68,4.7,5.1
12,22,9,09/12/22,11.4,0.4,24.08,13.08,4.4,3.2
12,22,10,10/12/22,8.6,0.24,19.17,10.81,4.1,4
12,22,11,11/12/22,6.1,0.13,14.31,8.34,1.8,1.8
12,22,12,12/12/22,12.2,0.24,17.76,5.8,2.4,3
12,22,13,13/12/22,13.5,0.15,21.52,8.17,2.8,2.4
12,22,14,14/12/22,10.5,0.32,17.48,7.3,3.6,3.7
12,22,15,15/12/22,4.5,0.02,14.35,9.87,1.4,1.6
12,22,16,16/12/22,6.2,0.17,14.9,8.87,0.6,0.6
12,22,17,17/12/22,8.6,0,23.07,14.47,4.5,4.7
12,22,18,18/12/22,10.5,0.24,18.43,8.17,2.8,2.9
12,22,19,19/12/22,9.2,0.17,17.05,8.02,2.9,2.8
12,22,20,20/12/22,13.4,0.07,22.91,9.58,3.5,3.6
12,22,21,21/12/22,14.2,0.4,24,10.2,2.2,2.6
12,22,22,22/12/22,11.3,0.24,21.32,10.26,1.7,1.5
12,22,23,23/12/22,8.6,0.28,18.2,9.88,2.3,2.4
12,22,24,24/12/22,9.4,0.3,21.74,12.64,1.5,1.1
12,22,25,25/12/22,14.1,0.3,24.32,10.52,4.4,4.2
12,22,26,26/12/22,11.4,0.51,18.82,7.93,1.9,1.6
12,22,27,27/12/22,18,0.23,24.29,6.52,2.3,2.3
12,22,28,28/12/22,12,0.33,18.84,7.17,2.4,2.4
12,22,29,29/12/22,7.3,0.26,16.94,9.9,3.4,3.4
12,22,30,30/12/22,12.4,0.18,22.7,10.48,2.9,3
12,22,31,31/12/22,13.4,0.38,21.37,8.35,1.9,1.9
1,23,1,01/01/23,14.2,0.37,22.53,8.7,2,2.4
1,23,2,02/01/23,16.9,0.38,27.63,11.11,2.7,2.3
1,23,3,03/01/23,11.6,0.26,20.34,9,2.5,2.3
1,23,4,04/01/23,12.2,0.35,21.92,10.07,3.3,3.3
1,23,5,05/01/23,6.5,0.01,19.23,12.74,4.5,4.7
1,23,6,06/01/23,14.7,0.48,24.26,10.04,4.1,4
1,23,7,07/01/23,11.9,0.38,18.44,6.92,1.4,1.6
1,23,8,08/01/23,12,0.36,18.31,6.67,1.5,1.5
1,23,9,09/01/23,14.6,0.29,21.25,6.94,3.1,2.5
1,23,10,10/01/23,17.4,0.26,23.6,6.46,3.9,3.9
1,23,11,11/01/23,12.9,0.41,20.63,8.14,4.8,4.8
1,23,12,12/01/23,10.5,0.08,16.24,5.82,4.9,5.5
1,23,13,13/01/23,15.6,0.37,24.64,9.41,6.6,5.5
1,23,14,14/01/23,11.9,0.14,18.66,6.9,5.7,5.6
1,23,15,15/01/23,12.3,0.04,22.04,9.78,6.4,6.2
1,23,16,16/01/23,11.1,0.19,19.04,8.13,4.8,4.9
1,23,17,17/01/23,12,0.15,20.68,8.83,3.9,3.8
1,23,18,18/01/23,12.8,0.12,21.13,8.45,4,3.8
1,23,19,19/01/23,13.8,0.12,22.78,9.1,3.7,3.6
1,23,20,20/01/23,16,2.65,23.42,10.07,5.6,5.6
1,23,21,21/01/23,14.4,3.49,18.92,8.01,3.4,3.3
1,23,22,22/01/23,8.8,0.27,27.01,18.48,8.1,8
1,23,23,23/01/23,28.7,13.83,22.81,7.94,3.2,2.9
1,23,24,24/01/23,10,1.49,19.72,11.21,4.7,4.8
1,23,25,25/01/23,17.4,4.36,21.65,8.61,6.7,5.8
